PDS_acc	target_acc	biosample_acc	gencoll_acc
PDS000112090.35	PDT001346451.1	SAMN11110604	GCA_023922125.1
PDS000112090.35	PDT001346585.1	SAMN11110736	GCA_023934905.1
PDS000112090.35	PDT001346672.1	SAMN11110634	GCA_023915965.1
PDS000112090.35	PDT001363418.1	SAMN28859613	GCA_024371255.1
PDS000112090.35	PDT001363444.1	SAMN28859610	GCA_024371095.1
PDS000112090.35	PDT001373663.1	SAMN30031160	GCA_024534615.1
PDS000112090.35	PDT001373674.1	SAMN30031159	GCA_024537635.1
PDS000112090.35	PDT001374650.1	SAMN30058001	GCA_024574235.1
PDS000112090.35	PDT001375070.1	SAMEA5067535	NULL
PDS000112090.35	PDT001377707.1	SAMN30108776	GCA_024560925.1
PDS000112090.35	PDT001391180.1	SAMN30349743	GCA_024963565.1
PDS000112090.35	PDT001391181.1	SAMN30349742	GCA_024963585.1
PDS000112090.35	PDT001391237.1	SAMN30349895	GCA_024962465.1
PDS000112090.35	PDT001391301.1	SAMN30350053	GCA_024961325.1
PDS000112090.35	PDT001391305.1	SAMN30350049	GCA_024961225.1
PDS000112090.35	PDT001406450.1	SAMN30313556	GCA_024832725.1
PDS000112090.35	PDT001406528.1	SAMN30313585	GCA_024845405.1
PDS000112090.35	PDT001406529.1	SAMN30313584	GCA_024831325.1
PDS000112090.35	PDT001451105.1	SAMN30287915	GCA_025661515.1
PDS000112090.35	PDT001451150.1	SAMN30287874	GCA_025662415.1
PDS000112090.35	PDT001455098.1	SAMN22773561	GCA_025723085.1
PDS000112090.35	PDT001456769.1	SAMN31388746	GCA_025778995.1
PDS000112090.35	PDT001456779.1	SAMN31388830	GCA_025778415.1
PDS000112090.35	PDT001456783.1	SAMN31388729	GCA_025779075.1
PDS000112090.35	PDT001465191.1	SAMN31034334	GCA_025798725.1
PDS000112090.35	PDT001465192.1	SAMN31034332	GCA_025798735.1
PDS000112090.35	PDT001465233.1	SAMN31034188	GCA_025799585.1
PDS000112090.35	PDT001465250.1	SAMN31034165	GCA_025799945.1
PDS000112090.35	PDT001481815.1	SAMN30403697	GCA_026014145.1
PDS000112090.35	PDT001481824.1	SAMN30403688	GCA_026014345.1
PDS000112090.35	PDT001481825.1	SAMN30403685	GCA_026014365.1
PDS000112090.35	PDT001481827.1	SAMN30403686	GCA_026014395.1
PDS000112090.35	PDT001487483.1	SAMN31759552	GCA_026221335.1
PDS000112090.35	PDT001495130.1	SAMEA111503926	GCA_026321635.1
PDS000112090.35	PDT001495172.1	SAMEA111503987	GCA_026321435.1
PDS000112090.35	PDT001503045.1	SAMN31836668	GCA_026481425.1
PDS000112090.35	PDT001505270.1	SAMN31933595	GCA_026532935.1
PDS000112090.35	PDT001505271.1	SAMN31933594	GCA_026533655.1
PDS000112090.35	PDT001505273.1	SAMN31933592	GCA_026533335.1
PDS000112090.35	PDT001505276.1	SAMN31933589	GCA_026533295.1
PDS000112090.35	PDT001505280.1	SAMN31933587	GCA_026533695.1
PDS000112090.35	PDT001505281.1	SAMN31933586	GCA_026533585.1
PDS000112090.35	PDT001505430.1	SAMN31844983	GCA_026551915.1
PDS000112090.35	PDT001505431.1	SAMN31844982	GCA_026552195.1
PDS000112090.35	PDT001505432.1	SAMN31844981	GCA_026552115.1
PDS000112090.35	PDT001505433.1	SAMN31845028	GCA_026551895.1
PDS000112090.35	PDT001505434.1	SAMN31845027	GCA_026551875.1
PDS000112090.35	PDT001505435.1	SAMN31845026	GCA_026551855.1
PDS000112090.35	PDT001505436.1	SAMN31845025	GCA_026552275.1
PDS000112090.35	PDT001505437.1	SAMN31845024	GCA_026552095.1
PDS000112090.35	PDT001505439.1	SAMN31844980	GCA_026552175.1
PDS000112090.35	PDT001505443.1	SAMN31845022	GCA_026551805.1
PDS000112090.35	PDT001505446.1	SAMN31845020	GCA_026551775.1
PDS000112090.35	PDT001505448.1	SAMN31845018	GCA_026551735.1
PDS000112090.35	PDT001505449.1	SAMN31845017	GCA_026552035.1
PDS000112090.35	PDT001505452.1	SAMN31845006	GCA_026551715.1
PDS000112090.35	PDT001505457.1	SAMN31845004	GCA_026552075.1
PDS000112090.35	PDT001505459.1	SAMN31845002	GCA_026551655.1
PDS000112090.35	PDT001505462.1	SAMN31845000	GCA_026551675.1
PDS000112090.35	PDT001505463.1	SAMN31844999	GCA_026551635.1
PDS000112090.35	PDT001505464.1	SAMN31844998	GCA_026552235.1
PDS000112090.35	PDT001505468.1	SAMN31844994	GCA_026551575.1
PDS000112090.35	PDT001505473.1	SAMN31844990	GCA_026551555.1
PDS000112090.35	PDT001505478.1	SAMN31844987	GCA_026551535.1
PDS000112090.35	PDT001505480.1	SAMN31844986	GCA_026552215.1
PDS000112090.35	PDT001505482.1	SAMN31844985	GCA_026552355.1
PDS000112090.35	PDT001512989.1	SAMN32045319	GCA_028056975.1
PDS000112090.35	PDT001577297.1	SAMN19313512	GCA_027855525.1
PDS000112090.35	PDT001582293.1	SAMN32801560	GCA_028059975.1
PDS000112090.35	PDT001590824.1	SAMN32908210	GCA_028170845.1
