ipg	ipg_accession	ipg_name	protein
464653070	WP_219833567.1	inhibitor-resistant extended-spectrum class A beta-lactamase KPC-90	WP_219833567.1
18218170	WP_004201164.1	subclass B1 metallo-beta-lactamase NDM-1	EIU5369484.1
916929	WP_001334766.1	oxacillin-hydrolyzing class D beta-lactamase OXA-1	WP_001334766.1
665066	WP_000846390.1	oxacillin-hydrolyzing class D beta-lactamase OXA-10	EKS2410413.1
6409204	WP_063860937.1	OXA-10 family class D beta-lactamase OXA-101	WP_063860937.1
3381299	WP_049291121.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1014	HBO9820489.1
226059130	WP_126584556.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1020	HCR1642496.1
67542031	WP_034027761.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1022	WP_034027761.1
98903209	WP_058354753.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1024	HCT4751675.1
67540146	WP_034025854.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1025	HCR1823620.1
40008245	WP_019396295.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1026	WP_019396295.1
98898392	WP_058142895.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1027	WP_058142895.1
37607691	WP_017002439.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1028	HCF1725085.1
226051707	WP_126861771.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1029	WP_126861771.1
44715956	WP_023097100.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1030	WP_023097100.1
3381349	WP_023107469.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1032	HDP3278509.1
67438913	WP_033937969.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1033	HCA6709507.1
3381336	WP_033887259.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1034	WP_033887259.1
44722100	WP_023096365.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1035	EIY9718726.1
219823663	WP_124125861.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1124	HCK4353703.1
219823663	WP_124125861.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1124	HBO1710341.1
219823663	WP_124125861.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1124	HBO1712933.1
219823663	WP_124125861.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1124	HCA5813130.1
219823663	WP_124125861.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1124	HCA5816878.1
67456555	WP_033955867.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1125	WP_033955867.1
67456555	WP_033955867.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1125	HBO3475669.1
67456555	WP_033955867.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1125	HBO3479814.1
67456555	WP_033955867.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1125	HBO3555167.1
67456555	WP_033955867.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1125	HBO3559945.1
67456555	WP_033955867.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1125	HBO4722219.1
67456555	WP_033955867.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1125	HBO4727838.1
67456555	WP_033955867.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1125	HBO4950189.1
67456555	WP_033955867.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1125	HBO8892508.1
67456555	WP_033955867.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1125	HBO8895464.1
67456555	WP_033955867.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1125	HCF2361607.1
67456555	WP_033955867.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1125	HCF2364213.1
67456555	WP_033955867.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1125	HCF7538317.1
67456555	WP_033955867.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1125	HCF7540764.1
67456555	WP_033955867.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1125	HCF9363316.1
67456555	WP_033955867.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1125	HCF9367632.1
67456555	WP_033955867.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1125	HCF9369045.1
67456555	WP_033955867.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1125	HCF9373829.1
67456555	WP_033955867.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1125	HCF9375734.1
67456555	WP_033955867.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1125	HCF9379858.1
67456555	WP_033955867.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1125	HCF9381338.1
67456555	WP_033955867.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1125	HCF9386046.1
67456555	WP_033955867.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1125	HCF9394411.1
67456555	WP_033955867.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1125	HCF9398887.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	WP_023122435.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	EIU1311245.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	EIU1313130.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	EIU1612828.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	EIU1615467.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	EIU1619661.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	EIU1621265.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	EIU1625239.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	EIU1627102.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	EIU1637442.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	EIU1639502.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	EIU3994803.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	EIU3999611.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	EJB0091921.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	EJB0094054.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBN8434107.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBN8435667.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO2503466.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO2505883.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO2839307.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO2840990.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO2993337.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO2997424.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO4254878.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO4258701.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO5118119.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO5121863.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO5656489.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO5658076.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO7072760.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO7079153.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO7186766.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO7191495.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO9018577.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO9021389.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO9173899.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO9179753.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO9179755.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO9438805.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO9442918.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO9515921.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO9519041.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO9654549.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO9659098.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO9677836.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO9682631.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO9802581.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO9807581.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO9938173.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO9942058.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO9949147.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO9953756.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO9974069.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBO9977243.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBP1638777.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBP1643163.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBP5366915.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBP5369659.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBP6224643.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBP6229017.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBP6231692.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBP6235626.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBP6519987.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HBP6523953.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCA6661015.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCA6665627.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCA6764723.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCA6769504.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCA7738521.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCA7742119.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCE0325849.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCE0327803.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCE3947629.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCE3953136.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCE6760890.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCE6761853.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCE7031312.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCE7037184.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCF0286928.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCF0287866.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCF0931090.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCF0935670.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCF1391022.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCF1395826.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCF1765460.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCF1767037.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCF4303133.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCF4305397.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCF4375227.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCF4376969.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCF7373504.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCF7377915.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCH0514345.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCH0517922.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCI1863088.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCI1868279.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCI2647479.1
44737026	WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1127	HCI2650133.1
97919960	WP_057387633.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1129	WP_057387633.1
97919960	WP_057387633.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1129	HBO4049849.1
97919960	WP_057387633.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1129	HBO4053864.1
97919960	WP_057387633.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1129	HBP1360696.1
97919960	WP_057387633.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1129	HBP1363143.1
97919960	WP_057387633.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1129	HCD7566348.1
97919960	WP_057387633.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1129	HCD7570312.1
98296151	WP_058017838.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1132	WP_058017838.1
98296151	WP_058017838.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1132	HBN9703631.1
98296151	WP_058017838.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1132	HBN9707014.1
98296151	WP_058017838.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1132	HBN9722179.1
98296151	WP_058017838.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1132	HBN9725958.1
98296151	WP_058017838.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1132	HBN9768534.1
98296151	WP_058017838.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1132	HBN9771963.1
98296151	WP_058017838.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1132	HBN9890211.1
98296151	WP_058017838.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1132	HBN9893767.1
98296151	WP_058017838.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1132	HBO3619870.1
98296151	WP_058017838.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1132	HBO3624912.1
98296151	WP_058017838.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1132	HBP5739500.1
98296151	WP_058017838.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1132	HBP5744038.1
98296151	WP_058017838.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1132	HCF2496814.1
98296151	WP_058017838.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1132	HCF2501835.1
98296151	WP_058017838.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1132	HCF2904329.1
98296151	WP_058017838.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1132	HCF2908972.1
98296151	WP_058017838.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1132	HCF5589553.1
98296151	WP_058017838.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1132	HCF5593554.1
98296151	WP_058017838.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1132	HCF5956554.1
98296151	WP_058017838.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1132	HCF5961235.1
98296151	WP_058017838.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1132	HCF5983617.1
