#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000745428.1|SAMEA5161519||Pseudomonas aeruginosa|||Generic	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	ERR4023842	NULL	NULL	211805	7355957	216	NULL	Generic	PRJEB29424	Wellcome Sanger Institute	SAMEA5161519	ERS2969245,b1c41630-db82-11e8-a41f-3c4a9275d6c8	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Pseudomonas aeruginosa	NULL	NULL	287	WELLCOME SANGER INSTITUTE	2020-04-18	NULL	NULL	NULL	PDT000745428.1	2020-05-26	287	NULL	NULL	NULL	NULL	NULL	0	0	0	0	19	16	NULL	aac(6')-Ib,aac(6')-Ib4,aacA37,aadA6,aph(3')-IIb,blaIMP-26,blaOXA-488,blaPDC-35,catB3,catB7,crpP,dfrA1,fosA,gyrA_T83I=POINT,mexA,mexE,mexX,sul1,tet(D)=PARTIAL_END_OF_CONTIG	aac(6')-Ib,aac(6')-Ib4,aacA37,aadA6,aph(3')-IIb,blaIMP-26,blaOXA-488,blaPDC-35,catB3,catB7,crpP,dfrA1,fosA,gyrA_T83I=POINT,sul1,tet(D)=PARTIAL_END_OF_CONTIG	10	chrA,merA,merB,merD,merE,merP,merR,merT,qacEdelta1,qacG2	0	NULL	3.10.18	2021-12-21.1	NUCLEOTIDE	1
PDT001211695.1|SAMN16632679|GCA_021592885.1|Pseudomonas aeruginosa|||Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR13131547	GCA_021592885.1	Contig	246652	7528114	85	SKESA v. 2.2	Pathogen: clinical or host-associated	PRJNA673837	Universitair Ziekenhuis Brussel, Vrije Universiteit Brussel	SAMN16632679	PAUZB045,Patient 02,SRS7775713	UZ Brussel	2019-07-22	clinical	31107568	Belgium: Jette	Homo sapiens	NULL	Bronchial aspirate	50.89 N 4.31 E	NULL	NULL	PAUZB045	Pseudomonas aeruginosa	NULL	NULL	287	UNIVERSITAIR ZIEKENHUIS BRUSSEL, VRIJE UNIVERSITEIT BRUSSEL	2020-11-25	NULL	NULL	NULL	PDT001211695.1	2021-12-25	287	DAFOKL	DAFOKL000000000.1	1	9	NULL	0	0	0	0	17	14	NULL	aac(6')-29a,aac(6')-29b,aph(3'')=HMM,aph(3')-IIb,blaOXA-395,blaPDC-3,blaVIM-2,catB7,cml=HMM,crpP,fosA=MISTRANSLATION,gyrA_T83I=POINT,mexA,mexE,mexX,parC_S87L=POINT,sul1	aac(6')-29a,aac(6')-29b,aph(3'')=HMM,aph(3')-IIb,blaOXA-395,blaPDC-3,blaVIM-2,catB7,cml=HMM,crpP,fosA=MISTRANSLATION,gyrA_T83I=POINT,parC_S87L=POINT,sul1	14	chrA,hdeD-GI,merA,merA=HMM,merD=HMM,merE=HMM,merP,merR,merT,qacEdelta1,shsP,trxLHR,yfdX1,yfdX2	0	NULL	3.10.18	2021-12-21.1	COMBINED	1
PDT000768060.1|SAMN07661454|GCA_021680055.1|Pseudomonas aeruginosa||6359|Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR6048094	GCA_021680055.1	Contig	72919	7121724	230	SKESA v. unknown	Pathogen: clinical or host-associated	PRJNA407721	National Laboratory for Health, Environment and Food	SAMN07661454	07-6359,6359,SRS2522315	NLZOH	2014	clinical	31214348	Slovenia	Homo sapiens	not collected	respiratory sample	not collected	NULL	NULL	07-6359	Pseudomonas aeruginosa	NULL	NULL	287	NATIONAL LABORATORY FOR HEALTH, ENVIRONMENT AND FOOD	2017-09-18	6359	NULL	NULL	PDT000768060.1	2020-06-17	287	DAFQNW	DAFQNW000000000.1	14	NULL	NULL	0	0	0	0	12	9	NULL	aph(3'')=HMM,aph(3')-IIb,blaOXA-395,blaPDC-3,catB7,cml=HMM,crpP,fosA=MISTRANSLATION,gyrA_T83I=POINT,mexA,mexE,mexX	aph(3'')=HMM,aph(3')-IIb,blaOXA-395,blaPDC-3,catB7,cml=HMM,crpP,fosA=MISTRANSLATION,gyrA_T83I=POINT	5	chrA=PARTIAL_END_OF_CONTIG,merA,merP,merR,merT	0	NULL	3.10.18	2021-12-21.1	COMBINED	1
PDT000354706.1|SAMN08435075|GCA_003332535.1|Pseudomonas aeruginosa||PA100|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_003332535.1	Contig	497400	6309141	78	SPAdes v. 3.11.1	Pathogen: clinical or host-associated	PRJNA431326	University of New South Wales	SAMN08435075	PA100,Paer100	USyd	2004	clinical	6925688	Australia	Homo sapiens	Cystic Fibrosis	lung	33.91 S 151.23 E	NULL	NULL	Paer100	Pseudomonas aeruginosa	NULL	NULL	287	NULL	NULL	PA100	NULL	NULL	PDT000354706.1	2018-07-20	287	QDGV	QDGV00000000.1	NULL	NULL	NULL	0	0	0	0	8	5	NULL	aph(3')-IIb,blaOXA-50,blaPDC-5,catB7,fosA,mexA=PARTIAL,mexE,mexX	aph(3')-IIb,blaOXA-50,blaPDC-5,catB7,fosA	0	NULL	0	NULL	3.10.36	2022-08-09.1	COMBINED	1
PDT000797913.1|SAMN15646489||Pseudomonas aeruginosa||2019-26-60-01|Microbe	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR12337772	NULL	NULL	222586	7176029	144	NULL	Microbe	PRJNA288601	Centers for Disease Control and Prevention.  Division of Healthcare Quality Promotion	SAMN15646489	2019-26-60-01,SRS7101065,whole organism	NULL	2019	NULL	NULL	USA	Environment	NULL	Dialysis faucet, interior	NULL	NULL	NULL	2019-26-60-01	Pseudomonas aeruginosa	NULL	NULL	287	CDC	2020-07-28	2019-26-60-01	NULL	NULL	PDT000797913.1	2020-07-28	287	NULL	NULL	NULL	NULL	NULL	0	0	0	0	17	14	NULL	aac(6')-Ib3,aadA1,aadA6,aph(3')-IIb,blaOXA-2,blaOXA-488,blaPDC-19a,blaVIM-2,catB7,crpP,fosA,gyrA_T83I=POINT,mexA,mexE,mexX,parC_S87L=POINT,sul1	aac(6')-Ib3,aadA1,aadA6,aph(3')-IIb,blaOXA-2,blaOXA-488,blaPDC-19a,blaVIM-2,catB7,crpP,fosA,gyrA_T83I=POINT,parC_S87L=POINT,sul1	8	merA,merD,merE,merP,merR,merT,qacEdelta1,qacG2	0	NULL	3.10.18	2021-12-21.1	NUCLEOTIDE	1
PDT000756461.1|SAMEA1965428||Pseudomonas aeruginosa|||Generic	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	ERR370059	NULL	NULL	184161	7181041	116	NULL	Generic	PRJEB4389	Wellcome Sanger Institute	SAMEA1965428	ERS222599,RES4402-sc-2013-03-11T14:18:10Z-1549626	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Pseudomonas aeruginosa	NULL	NULL	287	SC	2014-03-14	NULL	NULL	NULL	PDT000756461.1	2020-06-03	287	NULL	NULL	NULL	NULL	NULL	0	0	0	0	16	13	NULL	aac(3)-Ic,aac(6')-Il=PARTIAL,aac(6')-Il=PARTIAL_END_OF_CONTIG,aph(3')-IIb,blaOXA-488,blaPDC-35,catB7,cmlA5,fosA,gyrA_T83I=POINT,mexA,mexE,mexX,parC_S87L=POINT,sul1,tet(B)	aac(3)-Ic,aac(6')-Il=PARTIAL,aac(6')-Il=PARTIAL_END_OF_CONTIG,aph(3')-IIb,blaOXA-488,blaPDC-35,catB7,cmlA5,fosA,gyrA_T83I=POINT,parC_S87L=POINT,sul1,tet(B)	2	qacEdelta1,smr	0	NULL	3.10.18	2021-12-21.1	NUCLEOTIDE	1
PDT000985228.1|SAMN18313852|GCA_021665115.1|Pseudomonas aeruginosa||Pseudomonas_aeruginosa_2021CK-00665|Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR13965475	GCA_021665115.1	Contig	206794	6802382	131	SKESA v. 2.2	Pathogen: clinical or host-associated	PRJNA288601	Centers for Disease Control and Prevention.  Division of Healthcare Quality Promotion	SAMN18313852	2021CK-00665,Pseudomonas_aeruginosa_2021CK-00665,SRS8462684	NULL	2020-11-04	clinical	31199228	USA	Homo sapiens	NULL	urine	NULL	NULL	NULL	2021CK-00665	Pseudomonas aeruginosa	NULL	NULL	287	UPHL_ID	2021-03-15	Pseudomonas_aeruginosa_2021CK-00665	NULL	NULL	PDT000985228.1	2021-03-16	287	ABEUPX	ABEUPX000000000.1	9	NULL	NULL	0	0	0	0	15	12	NULL	ant(2'')-Ia,aph(3')-IIb,blaOXA=PARTIAL_END_OF_CONTIG,blaOXA-10,blaOXA-488,blaOXA-677,blaPDC-35,catB7,fosA,gyrA_T83I=POINT,mexA,mexE,mexX,parC_S87L=POINT,sul1	ant(2'')-Ia,aph(3')-IIb,blaOXA=PARTIAL_END_OF_CONTIG,blaOXA-10,blaOXA-488,blaOXA-677,blaPDC-35,catB7,fosA,gyrA_T83I=POINT,parC_S87L=POINT,sul1	2	merP=HMM,qacEdelta1	0	NULL	3.10.18	2021-12-21.1	COMBINED	1
PDT000540488.1|SAMN12162696|GCA_006704885.1|Pseudomonas aeruginosa||PASP368|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_006704885.1	Contig	161400	6977667	145	SPAdes v. 3.9.1	Pathogen: clinical or host-associated	PRJNA547626	Northwestern University Feinberg School of Medicine	SAMN12162696	PASP368	Spanish Network for Research in Infectious Diseases (REIPI)	2008	clinical	11767728	Spain	Homo sapiens	NULL	blood	NULL	NULL	NULL	PASP368	Pseudomonas aeruginosa	NULL	NULL	287	NULL	NULL	PASP368	NULL	NULL	PDT000540488.1	2019-07-07	287	VIIF	VIIF00000000.1	37	NULL	NULL	0	0	0	0	9	6	NULL	aph(3')-IIb,blaOXA-848,blaPDC-16,catB7,crpP=PARTIAL,fosA,mexA,mexE,mexX	aph(3')-IIb,blaOXA-848,blaPDC-16,catB7,crpP=PARTIAL,fosA	14	hdeD-GI,kefB-GI,merA,merA=HMM,merD,merE,merP,merP=HMM,merR,merT,shsP,trxLHR,yfdX1,yfdX2	0	NULL	3.10.40	2022-08-09.1	COMBINED	1
PDT001211741.1|SAMN22305146||Pseudomonas aeruginosa||PA095|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR16632097	NULL	NULL	331303	6665445	62	NULL	MIGS Cultured Bacterial/Archaeal	PRJNA771342	Baylor College of Medicine	SAMN22305146	PA095,SRS10778201	NULL	2012-12-06	clinical	NULL	USA: Houston, Texas	Homo sapiens	NULL	NULL	29.7604 N 95.3698 W	NULL	NULL	PA095	Pseudomonas aeruginosa	NULL	NULL	287	BAYLOR COLLEGE OF MEDICINE	2021-10-30	PA095	NULL	NULL	PDT001211741.1	2021-12-25	287	NULL	NULL	1	NULL	NULL	0	0	0	0	9	6	NULL	aph(3')-IIb,blaOXA-486,blaPDC-24,catB7,crpP,fosA,mexA,mexE,mexX	aph(3')-IIb,blaOXA-486,blaPDC-24,catB7,crpP,fosA	0	NULL	0	NULL	3.10.18	2021-12-21.1	NUCLEOTIDE	1
PDT001684381.1|SAMN28905168|GCA_029632225.1|Pseudomonas aeruginosa||CFRL18|Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR19575280	GCA_029632225.1	Contig	518787	6595452	44	SKESA v. 2.2	Pathogen: clinical or host-associated	PRJNA742527	Geisel School of Medicine at Dartmouth	SAMN28905168	CFRL18,CFpl127_B8,SRS13327321,T3_RLL_B8	DartCF Translational Research Core	2015/2018	clinical	41994818	USA:New Hampshire	Homo sapiens	cystic fibrosis	bronchoalveolar lavage fluid	43.6423 N 72.2518 W	NULL	NULL	T3_RLL_B8	Pseudomonas aeruginosa	NULL	NULL	287	GEISEL SCHOOL OF MEDICINE AT DARTMOUTH	2022-12-31	CFRL18	NULL	NULL	PDT001684381.1	2023-04-09	287	DAOGCT	DAOGCT000000000.1	3	NULL	NULL	0	0	0	0	9	6	NULL	aph(3')-IIb,blaOXA-847,blaPDC,catB7,crpP=PARTIAL,fosA,mexA,mexE,mexX	aph(3')-IIb,blaOXA-847,blaPDC,catB7,crpP=PARTIAL,fosA	0	NULL	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT001343807.1|SAMN27566388|GCA_023960335.1|Pseudomonas aeruginosa||Pseudomonas aeruginosa ARLG-9764|Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR18768099	GCA_023960335.1	Contig	269776	7098982	110	SKESA v. 2.2	Pathogen: clinical or host-associated	PRJNA824880	Hackensack-Meridian Health Center for Discovery and Innovation	SAMN27566388	ARLG-9764,Pseudomonas aeruginosa ARLG-9764,SRS12621460	MDRO Network	2019	clinical	34219368	China	Homo sapiens	NULL	respiratory	NULL	NULL	NULL	ARLG-9764	Pseudomonas aeruginosa	NULL	NULL	287	HACKENSACK-MERIDIAN HEALTH CENTER FOR DISCOVERY AND INNOVATION	2022-04-15	Pseudomonas aeruginosa ARLG-9764	NULL	NULL	PDT001343807.1	2022-06-25	287	DAHOWO	DAHOWO000000000.1	2	NULL	NULL	0	0	0	0	21	18	NULL	aac(6')-Ib4,aadA2,ant(2'')-Ia,aph(3'')-Ib,aph(3')-IIb,aph(6)-Id,blaCARB-2,blaOXA-846,blaPDC-11,catB7,crpP=PARTIAL,dfrA1,floR2,fosA,gyrA_T83I=POINT,mexA,mexE,mexX,parC_S87L=POINT,sul1,tet(G)	aac(6')-Ib4,aadA2,ant(2'')-Ia,aph(3'')-Ib,aph(3')-IIb,aph(6)-Id,blaCARB-2,blaOXA-846,blaPDC-11,catB7,crpP=PARTIAL,dfrA1,floR2,fosA,gyrA_T83I=POINT,parC_S87L=POINT,sul1,tet(G)	1	qacEdelta1	0	NULL	3.10.30	2022-05-26.1	COMBINED	1
